match_name,actual_score,portfolio_name,portfolio_style,pre_match_rank,profit,roi,failure_pattern,favorite_margin,handicap_depth,actual_score_covered,underdog_goal_tail_included,draw_path_included,qualification_pressure_type,recommended_fix
捷克 vs 墨西哥,0:3,第5组合,System,5,-100.0,-1.0,correct_score_over_concentrated;low_odds_false_safety,three_plus_goal_win,0.0,False,True,False,,Limit clean-sheet correct-score concentration.
捷克 vs 墨西哥,0:3,第6组合,System,6,-100.0,-1.0,correct_score_over_concentrated;low_odds_false_safety,three_plus_goal_win,0.5,False,True,False,,Limit clean-sheet correct-score concentration.
捷克 vs 墨西哥,0:3,第7组合,System,7,-100.0,-1.0,low_odds_false_safety,three_plus_goal_win,0.5,False,False,False,,Reduce false safety from low-odds single-path assets.
捷克 vs 墨西哥,0:3,第8组合,System,8,-100.0,-1.0,low_odds_false_safety,three_plus_goal_win,0.5,False,False,False,,Reduce false safety from low-odds single-path assets.
捷克 vs 墨西哥,0:3,第9组合,System,9,-100.0,-1.0,correct_score_over_concentrated;low_odds_false_safety,three_plus_goal_win,0.5,False,True,False,,Limit clean-sheet correct-score concentration.
摩洛哥 vs 海地,4:2,第5组合,System,5,992.0,0.551,profitable,two_goal_win,1.5,True,False,False,,No tuning action from this row alone.
摩洛哥 vs 海地,4:2,第3组合,System,3,640.0,0.356,profitable,two_goal_win,1.5,True,False,False,,No tuning action from this row alone.
摩洛哥 vs 海地,4:2,第2组合,System,2,288.0,0.16,profitable,two_goal_win,0.0,True,False,False,,No tuning action from this row alone.
摩洛哥 vs 海地,4:2,推荐组合,Recommendation / Rank #1,1,-94.0,-0.052,correct_score_over_concentrated;underdog_goal_broke_clean_sheet,two_goal_win,1.5,False,False,False,,Add or reweight underdog-goal adjacent score paths.
摩洛哥 vs 海地,4:2,第4组合,System,4,-445.0,-0.247,correct_score_over_concentrated;underdog_goal_broke_clean_sheet,two_goal_win,1.5,False,False,False,,Add or reweight underdog-goal adjacent score paths.
摩洛哥 vs 海地,4:2,第6组合,System,6,-640.0,-0.356,correct_score_over_concentrated;underdog_goal_broke_clean_sheet,two_goal_win,0.0,False,False,False,,Add or reweight underdog-goal adjacent score paths.
摩洛哥 vs 海地,4:2,第7组合,Aggressive,7,-714.0,-0.397,correct_score_over_concentrated;underdog_goal_broke_clean_sheet,two_goal_win,1.5,False,False,False,,Add or reweight underdog-goal adjacent score paths.
摩洛哥 vs 海地,4:2,第9组合,Tail Hedge,9,-988.0,-0.549,correct_score_over_concentrated;underdog_goal_broke_clean_sheet,two_goal_win,0.0,False,False,False,,Add or reweight underdog-goal adjacent score paths.
摩洛哥 vs 海地,4:2,第8组合,System,8,-1800.0,-1.0,correct_score_over_concentrated;low_odds_false_safety;underdog_goal_broke_clean_sheet,two_goal_win,0.0,False,False,False,,Add or reweight underdog-goal adjacent score paths.
摩洛哥 vs 海地,4:2,第10组合,System,10,-1800.0,-1.0,correct_score_over_concentrated;low_odds_false_safety;underdog_goal_broke_clean_sheet,two_goal_win,0.0,False,False,False,,Add or reweight underdog-goal adjacent score paths.
苏格兰 vs 巴西,0:3,第4组合,System,4,1230.0,1.118,profitable,three_plus_goal_win,0.0,True,True,False,,No tuning action from this row alone.
苏格兰 vs 巴西,0:3,第7组合,Tail Hedge,7,843.0,0.766,profitable,three_plus_goal_win,0.0,True,True,False,,No tuning action from this row alone.
苏格兰 vs 巴西,0:3,第6组合,System,6,713.0,0.648,profitable,three_plus_goal_win,1.5,True,True,False,,No tuning action from this row alone.
苏格兰 vs 巴西,0:3,第5组合,Aggressive,5,453.0,0.412,profitable,three_plus_goal_win,1.5,True,True,False,,No tuning action from this row alone.
苏格兰 vs 巴西,0:3,推荐组合,Recommendation / Rank #1,1,330.0,0.3,profitable,three_plus_goal_win,0.0,True,False,False,,No tuning action from this row alone.
