match_id,match_name,kickoff,actual_score,portfolio_name,portfolio_style,pre_match_rank,pre_match_score,total_stake,net_profit,roi,hit_count,loss_count,push_count,best_score_path,actual_score_path,covered_actual_score,zero_risk_triggered,one_goal_deviation_failure,recommendation_rank_pre_match,actual_profit_rank_post_match,recomputed_with_current_model
2026_06_20_Scotland_Morocco,苏格兰 vs 摩洛哥,2026-06-19T22:00Z,0:1,第6组合,System,6,58,300.0,-130.0,-0.4333,1,1,0,0:0,one_goal_win,False,False,True,6,10,True
2026_06_20_Scotland_Morocco,苏格兰 vs 摩洛哥,2026-06-19T22:00Z,0:1,第7组合,System,7,56,300.0,1361.25,4.5375,1,0,0,0:1,one_goal_win,True,False,False,7,1,True
2026_06_20_Scotland_Morocco,苏格兰 vs 摩洛哥,2026-06-19T22:00Z,0:1,第8组合,System,8,55,300.0,807.5,2.6917,1,1,0,0:1,one_goal_win,True,False,False,8,2,True
2026_06_20_Scotland_Morocco,苏格兰 vs 摩洛哥,2026-06-19T22:00Z,0:1,第9组合,System,9,54,300.0,253.75,0.8458,1,1,0,0:1,one_goal_win,True,False,False,9,5,True
2026_06_20_Scotland_Morocco,苏格兰 vs 摩洛哥,2026-06-19T22:00Z,0:1,第10组合,System,10,54,300.0,253.75,0.8458,1,2,0,1:2,one_goal_win,True,False,False,10,6,True
2026_06_20_Scotland_Morocco,苏格兰 vs 摩洛哥,2026-06-19T22:00Z,0:1,第11组合,System,11,34,300.0,197.84,0.6595,1,0,0,0:1,one_goal_win,True,False,False,11,9,True
2026_06_20_T_rkiye_Paraguay,土耳其 vs 巴拉圭,2026-06-20T03:00Z,0:1,推荐组合,System,1,100,1500.0,-1500.0,-1.0,0,1,0,1:0,one_goal_win,False,True,True,1,7,True
2026_06_20_T_rkiye_Paraguay,土耳其 vs 巴拉圭,2026-06-20T03:00Z,0:1,第2组合,System,2,100,1500.0,-1500.0,-1.0,0,1,0,1:0,one_goal_win,False,True,True,2,8,True
2026_06_20_T_rkiye_Paraguay,土耳其 vs 巴拉圭,2026-06-20T03:00Z,0:1,第3组合,System,3,96,1500.0,-1500.0,-1.0,0,2,0,1:0,one_goal_win,False,True,True,3,9,True
2026_06_20_T_rkiye_Paraguay,土耳其 vs 巴拉圭,2026-06-20T03:00Z,0:1,第4组合,System,4,80,1500.0,-1500.0,-1.0,0,1,0,1:0,one_goal_win,False,True,True,4,10,True
2026_06_20_T_rkiye_Paraguay,土耳其 vs 巴拉圭,2026-06-20T03:00Z,0:1,第5组合,System,5,69,1500.0,2378.18,1.5855,1,1,0,0:1,one_goal_win,True,False,False,5,3,True
2026_06_20_T_rkiye_Paraguay,土耳其 vs 巴拉圭,2026-06-20T03:00Z,0:1,第6组合,System,6,59,1500.0,2378.18,1.5855,1,1,0,0:1,one_goal_win,True,False,False,6,4,True
